Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2021-11-04T15:01:43.546939Z,META,SELL - MARKET,30.9311166,$336.80 ,"$10,417.57 ",USD,1.1544
2021-11-04T15:01:56.936817Z,AMZN,SELL - MARKET,3.01330978,"$3,453.74 ","$10,407.13 ",USD,1.1544
2021-11-04T17:56:33.923130Z,NFLX,BUY - MARKET,14.97792256,$667.65 ,"$10,000 ",USD,1.155
2021-11-04T17:57:37.712460Z,V,BUY - MARKET,47.78768039,$209.26 ,"$10,000 ",USD,1.155
2021-11-04T18:01:29.739450Z,AMD,BUY - MARKET,73.30022722,$136.43 ,"$10,000 ",USD,1.155
2021-11-04T18:09:36.684286Z,LCID,BUY - MARKET,267.8165506,$37.34 ,"$10,000 ",USD,1.1552
2021-11-04T18:11:16.077184Z,NKE,BUY - MARKET,57.41221724,$174.18 ,"$10,000 ",USD,1.1552
2021-11-04T18:17:57.089165Z,XPEV,BUY - MARKET,208.8991017,$47.87 ,"$10,000 ",USD,1.1555
2021-11-04T18:18:14.579131Z,XPEV,BUY - MARKET,78.78955067,$47.85 ,"$3,770 ",USD,1.1555
2021-11-08T15:32:11.206278Z,LCID,SELL - MARKET,267.8165506,$44.61 ,"$11,947.48 ",USD,1.1595
2021-11-08T17:19:24.727272Z,AMD,SELL - MARKET,73.30022722,$150.89 ,"$11,060.27 ",USD,1.1593
2021-11-08T20:20:52.650745Z,XPEV,BUY - MARKET,209.9561201,$47.63 ,"$10,000 ",USD,1.1591
2021-11-08T20:25:25.962421Z,TSLA,BUY - MARKET,8.46031692,"$1,181.99 ","$10,000 ",USD,1.1592
2021-11-08T20:29:22.453416Z,DELL,BUY - MARKET,54.23083875,$55.32 ,"$3,000 ",USD,1.1592
2021-11-23T14:51:07.836345Z,XPEV,SELL - MARKET,497.6447725,$53.07 ,"$26,410.32 ",USD,1.1251
2021-11-23T19:36:59.784861Z,XPEV,BUY - MARKET,200.4851644,$49.88 ,"$10,000 ",USD,1.125
2021-11-23T19:37:28.000989Z,LCID,BUY - MARKET,197.6324111,$50.60 ,"$10,000 ",USD,1.125
2021-11-23T19:37:47.566973Z,XPEV,BUY - MARKET,128.5311311,$49.95 ,"$6,420 ",USD,1.1251
2021-11-24T16:03:03.566810Z,XPEV,SELL - MARKET,329.0162955,$54.15 ,"$17,816.43 ",USD,1.1197
2021-11-24T20:38:26.762766Z,LCID,SELL - MARKET,197.6324111,$52.86 ,"$10,446.98 ",USD,1.1206
2021-11-24T20:44:27.268631Z,DELL,BUY - MARKET,173.7631625,$57.55 ,"$10,000 ",USD,1.1206
